Car_ID,Brand,Model,Fuel_Type,Transmission,Body_Type,Mileage,Engine_CC,Year
1,kia,ev6,electric,automatic,suv,0,0,2024
2,honda,amaze,diesel,automatic,sedan,20,1199,2019
3,honda,amaze,diesel,manual,sedan,20,1199,2018
4,honda,amaze,petrol,manual,sedan,20,1199,2024
5,toyota,innova,diesel,manual,suv,14,2393,2018
6,bmw,3 series,diesel,automatic,sedan,14,1998,2017
7,hyundai,verna,petrol,manual,sedan,19,1497,2022
8,maruti,alto,petrol,manual,hatchback,23,796,2019
9,kia,seltos,petrol,automatic,suv,16,1497,2022
10,hyundai,verna,petrol,manual,sedan,20,1497,2023
11,kia,seltos,petrol,manual,suv,16,1497,2016
12,hyundai,verna,petrol,automatic,sedan,17,1497,2021
13,honda,amaze,diesel,manual,sedan,18,1199,2020
14,hyundai,i20,petrol,automatic,hatchback,22,1197,2016
15,honda,amaze,petrol,manual,sedan,19,1199,2022
16,honda,city,petrol,automatic,sedan,16,1498,2016
17,honda,amaze,diesel,automatic,sedan,21,1199,2018
18,toyota,innova,diesel,manual,suv,16,2393,2018
19,maruti,alto,petrol,manual,hatchback,23,796,2023
20,honda,city,petrol,automatic,sedan,16,1498,2024
21,bmw,3 series,diesel,automatic,sedan,12,1998,2016
22,honda,amaze,diesel,manual,sedan,19,1199,2023
23,kia,ev6,electric,automatic,suv,0,0,2020
24,hyundai,creta,petrol,manual,suv,15,1497,2020
25,kia,seltos,diesel,automatic,suv,17,1497,2022
26,maruti,swift,petrol,automatic,hatchback,22,1197,2016
27,hyundai,i20,petrol,automatic,hatchback,20,1197,2019
28,kia,ev6,electric,automatic,suv,2,0,2023
29,toyota,glanza,petrol,manual,hatchback,24,1197,2021
30,maruti,swift,petrol,manual,hatchback,25,1197,2018
31,hyundai,i20,petrol,automatic,hatchback,23,1197,2020
32,kia,seltos,petrol,automatic,suv,17,1497,2023
33,toyota,fortuner,diesel,manual,suv,10,2755,2020
34,kia,ev6,electric,automatic,suv,0,0,2021
35,toyota,innova,diesel,manual,suv,16,2393,2020
36,toyota,innova,diesel,automatic,suv,15,2393,2017
37,hyundai,i20,petrol,manual,hatchback,19,1197,2019
38,toyota,glanza,petrol,automatic,hatchback,20,1197,2020
39,bmw,x1,petrol,automatic,suv,14,1995,2020
40,kia,seltos,diesel,automatic,suv,16,1497,2023
41,honda,city,petrol,manual,sedan,17,1498,2019
42,bmw,3 series,diesel,automatic,sedan,12,1998,2019
43,maruti,alto,petrol,manual,hatchback,24,796,2023
44,maruti,alto,petrol,manual,hatchback,25,796,2020
45,hyundai,i20,petrol,manual,hatchback,22,1197,2020
46,toyota,innova,diesel,manual,suv,12,2393,2024
47,honda,amaze,diesel,automatic,sedan,20,1199,2016
48,toyota,fortuner,diesel,manual,suv,11,2755,2021
49,honda,amaze,diesel,automatic,sedan,19,1199,2018
50,bmw,3 series,diesel,automatic,sedan,11,1998,2024
51,honda,amaze,diesel,manual,sedan,18,1199,2016
52,hyundai,creta,petrol,automatic,suv,15,1497,2018
53,hyundai,creta,petrol,automatic,suv,17,1497,2020
54,honda,city,petrol,automatic,sedan,20,1498,2021
55,bmw,x1,diesel,automatic,suv,15,1995,2022
56,toyota,glanza,petrol,automatic,hatchback,24,1197,2022
57,hyundai,i20,petrol,automatic,hatchback,20,1197,2018
58,maruti,alto,petrol,manual,hatchback,22,796,2017
59,honda,amaze,petrol,automatic,sedan,21,1199,2019
60,hyundai,i20,petrol,automatic,hatchback,19,1197,2023
61,hyundai,creta,diesel,automatic,suv,16,1497,2023
62,toyota,glanza,petrol,manual,hatchback,22,1197,2017
63,toyota,glanza,petrol,automatic,hatchback,24,1197,2019
64,bmw,x1,petrol,automatic,suv,14,1995,2016
65,honda,amaze,petrol,automatic,sedan,22,1199,2024
66,bmw,x1,petrol,automatic,suv,13,1995,2020
67,kia,ev6,electric,automatic,suv,0,0,2021
68,bmw,x1,petrol,automatic,suv,15,1995,2017
69,hyundai,creta,diesel,automatic,suv,18,1497,2024
70,toyota,fortuner,diesel,automatic,suv,14,2755,2017
71,maruti,alto,petrol,manual,hatchback,22,796,2023
72,kia,seltos,petrol,automatic,suv,16,1497,2016
73,maruti,alto,petrol,manual,hatchback,25,796,2022
74,honda,city,petrol,manual,sedan,19,1498,2021
75,bmw,3 series,diesel,automatic,sedan,14,1998,2023
76,bmw,x1,diesel,automatic,suv,16,1995,2022
77,bmw,3 series,petrol,automatic,sedan,12,1998,2018
78,hyundai,creta,diesel,automatic,suv,18,1497,2021
79,honda,city,petrol,manual,sedan,18,1498,2018
80,honda,city,petrol,manual,sedan,17,1498,2022
81,toyota,innova,diesel,automatic,suv,15,2393,2024
82,honda,amaze,petrol,manual,sedan,20,1199,2022
83,hyundai,creta,diesel,manual,suv,19,1497,2018
84,hyundai,i20,petrol,automatic,hatchback,21,1197,2017
85,maruti,swift,petrol,automatic,hatchback,21,1197,2023
86,kia,ev6,electric,automatic,suv,2,0,2021
87,honda,amaze,diesel,manual,sedan,18,1199,2022
88,honda,city,petrol,manual,sedan,19,1498,2024
89,maruti,swift,petrol,automatic,hatchback,25,1197,2021
90,bmw,x1,petrol,automatic,suv,12,1995,2016
91,bmw,x1,diesel,automatic,suv,14,1995,2016
92,hyundai,i20,petrol,automatic,hatchback,21,1197,2020
93,honda,city,petrol,manual,sedan,18,1498,2023
94,hyundai,creta,diesel,automatic,suv,16,1497,2021
95,kia,ev6,electric,automatic,suv,2,0,2021
96,hyundai,creta,petrol,automatic,suv,17,1497,2017
97,maruti,swift,petrol,automatic,hatchback,24,1197,2020
98,hyundai,i20,petrol,manual,hatchback,20,1197,2021
99,bmw,3 series,petrol,automatic,sedan,12,1998,2019
100,toyota,innova,diesel,automatic,suv,15,2393,2016
101,maruti,swift,petrol,manual,hatchback,22,1197,2024
102,kia,ev6,electric,automatic,suv,1,0,2017
103,bmw,x1,petrol,automatic,suv,13,1995,2017
104,toyota,glanza,petrol,automatic,hatchback,20,1197,2017
105,toyota,fortuner,diesel,manual,suv,12,2755,2020
106,toyota,innova,diesel,automatic,suv,16,2393,2024
107,maruti,swift,petrol,automatic,hatchback,22,1197,2024
108,toyota,innova,diesel,manual,suv,13,2393,2019
109,maruti,alto,petrol,manual,hatchback,24,796,2017
110,maruti,swift,petrol,manual,hatchback,21,1197,2020
111,toyota,glanza,petrol,manual,hatchback,22,1197,2016
112,bmw,3 series,petrol,automatic,sedan,15,1998,2019
113,hyundai,verna,petrol,automatic,sedan,18,1497,2021
114,toyota,innova,diesel,manual,suv,13,2393,2022
115,honda,amaze,diesel,automatic,sedan,21,1199,2019
116,maruti,swift,petrol,manual,hatchback,25,1197,2017
117,toyota,fortuner,diesel,manual,suv,12,2755,2019
118,bmw,x1,petrol,automatic,suv,15,1995,2023
119,bmw,x1,diesel,automatic,suv,16,1995,2019
120,kia,ev6,electric,automatic,suv,0,0,2017
121,honda,amaze,diesel,automatic,sedan,19,1199,2024
122,hyundai,creta,diesel,automatic,suv,17,1497,2021
123,honda,amaze,petrol,automatic,sedan,22,1199,2019
124,kia,ev6,electric,automatic,suv,0,0,2021
125,toyota,fortuner,diesel,manual,suv,12,2755,2018
126,kia,ev6,electric,automatic,suv,1,0,2023
127,maruti,swift,petrol,automatic,hatchback,24,1197,2020
128,maruti,swift,petrol,automatic,hatchback,21,1197,2019
129,honda,amaze,diesel,manual,sedan,18,1199,2022
130,hyundai,verna,petrol,automatic,sedan,21,1497,2019
131,kia,seltos,diesel,manual,suv,16,1497,2018
132,toyota,fortuner,diesel,manual,suv,12,2755,2017
133,maruti,alto,petrol,manual,hatchback,23,796,2021
134,honda,amaze,diesel,manual,sedan,18,1199,2018
135,honda,city,petrol,automatic,sedan,19,1498,2023
136,maruti,swift,petrol,automatic,hatchback,22,1197,2016
137,hyundai,verna,petrol,manual,sedan,18,1497,2017
138,kia,ev6,electric,automatic,suv,2,0,2024
139,honda,amaze,diesel,manual,sedan,20,1199,2018
140,toyota,glanza,petrol,manual,hatchback,22,1197,2020
141,maruti,swift,petrol,manual,hatchback,21,1197,2017
142,honda,amaze,diesel,automatic,sedan,22,1199,2016
143,hyundai,creta,diesel,automatic,suv,18,1497,2018
144,maruti,swift,petrol,automatic,hatchback,24,1197,2021
145,bmw,x1,petrol,automatic,suv,13,1995,2018
146,bmw,3 series,diesel,automatic,sedan,14,1998,2017
147,toyota,innova,diesel,automatic,suv,14,2393,2019
148,kia,ev6,electric,automatic,suv,0,0,2017
149,bmw,x1,diesel,automatic,suv,14,1995,2016
150,honda,city,petrol,manual,sedan,20,1498,2019
151,toyota,glanza,petrol,automatic,hatchback,24,1197,2020
152,honda,city,petrol,automatic,sedan,16,1498,2023
153,toyota,innova,diesel,automatic,suv,16,2393,2021
154,hyundai,verna,petrol,manual,sedan,21,1497,2021
155,hyundai,verna,petrol,automatic,sedan,20,1497,2020
156,toyota,innova,diesel,automatic,suv,15,2393,2022
157,bmw,3 series,diesel,automatic,sedan,11,1998,2020
158,honda,amaze,petrol,automatic,sedan,19,1199,2016
159,hyundai,verna,petrol,automatic,sedan,21,1497,2024
160,hyundai,creta,diesel,manual,suv,18,1497,2021
161,hyundai,creta,petrol,manual,suv,15,1497,2016
162,kia,ev6,electric,automatic,suv,1,0,2017
163,kia,seltos,petrol,manual,suv,18,1497,2018
164,toyota,fortuner,diesel,automatic,suv,12,2755,2017
165,toyota,innova,diesel,automatic,suv,14,2393,2016
166,hyundai,i20,petrol,manual,hatchback,21,1197,2023
167,maruti,alto,petrol,manual,hatchback,23,796,2024
168,maruti,alto,petrol,manual,hatchback,26,796,2018
169,honda,amaze,diesel,manual,sedan,21,1199,2016
170,honda,amaze,diesel,manual,sedan,20,1199,2019
171,maruti,swift,petrol,manual,hatchback,21,1197,2022
172,hyundai,creta,diesel,automatic,suv,18,1497,2019
173,honda,city,petrol,automatic,sedan,19,1498,2019
174,toyota,glanza,petrol,manual,hatchback,24,1197,2021
175,honda,amaze,diesel,automatic,sedan,22,1199,2021
176,toyota,glanza,petrol,automatic,hatchback,20,1197,2019
177,toyota,innova,diesel,manual,suv,13,2393,2020
178,honda,city,petrol,manual,sedan,17,1498,2016
179,maruti,alto,petrol,manual,hatchback,24,796,2017
180,bmw,3 series,petrol,automatic,sedan,14,1998,2018
181,maruti,alto,petrol,manual,hatchback,25,796,2019
182,maruti,swift,petrol,automatic,hatchback,21,1197,2021
183,kia,ev6,electric,automatic,suv,0,0,2018
184,honda,amaze,diesel,automatic,sedan,18,1199,2023
185,bmw,3 series,diesel,automatic,sedan,14,1998,2017
186,bmw,3 series,petrol,automatic,sedan,14,1998,2021
187,hyundai,verna,petrol,automatic,sedan,21,1497,2018
188,hyundai,i20,petrol,manual,hatchback,23,1197,2018
189,kia,ev6,electric,automatic,suv,0,0,2019
190,toyota,innova,diesel,automatic,suv,16,2393,2022
191,maruti,swift,petrol,manual,hatchback,23,1197,2023
192,toyota,fortuner,diesel,manual,suv,14,2755,2018
193,bmw,x1,petrol,automatic,suv,12,1995,2019
194,toyota,glanza,petrol,manual,hatchback,21,1197,2021
195,toyota,glanza,petrol,manual,hatchback,24,1197,2018
196,toyota,glanza,petrol,manual,hatchback,21,1197,2020
197,hyundai,creta,diesel,automatic,suv,17,1497,2020
198,honda,amaze,petrol,manual,sedan,18,1199,2020
199,hyundai,i20,petrol,manual,hatchback,20,1197,2023
200,hyundai,i20,petrol,automatic,hatchback,21,1197,2024
201,hyundai,verna,petrol,manual,sedan,21,1497,2018
202,kia,seltos,diesel,automatic,suv,15,1497,2018
203,hyundai,verna,petrol,automatic,sedan,18,1497,2017
204,honda,amaze,petrol,manual,sedan,20,1199,2024
205,toyota,innova,diesel,manual,suv,16,2393,2024
206,maruti,alto,petrol,manual,hatchback,22,796,2024
207,toyota,glanza,petrol,manual,hatchback,23,1197,2021
208,kia,seltos,petrol,automatic,suv,18,1497,2021
209,kia,ev6,electric,automatic,suv,2,0,2024
210,hyundai,i20,petrol,manual,hatchback,21,1197,2020
211,honda,amaze,diesel,automatic,sedan,18,1199,2021
212,maruti,swift,petrol,automatic,hatchback,23,1197,2024
213,kia,seltos,petrol,automatic,suv,15,1497,2016
214,bmw,3 series,petrol,automatic,sedan,15,1998,2016
215,toyota,glanza,petrol,automatic,hatchback,23,1197,2018
216,kia,seltos,diesel,automatic,suv,16,1497,2019
217,bmw,3 series,petrol,automatic,sedan,13,1998,2020
218,kia,seltos,diesel,automatic,suv,19,1497,2023
219,honda,city,petrol,manual,sedan,16,1498,2019
220,honda,city,petrol,automatic,sedan,16,1498,2020
221,maruti,alto,petrol,manual,hatchback,23,796,2017
222,hyundai,creta,diesel,automatic,suv,15,1497,2021
223,hyundai,verna,petrol,automatic,sedan,19,1497,2016
224,toyota,innova,diesel,manual,suv,14,2393,2021
225,maruti,alto,petrol,manual,hatchback,22,796,2018
226,honda,city,petrol,manual,sedan,16,1498,2016
227,kia,ev6,electric,automatic,suv,2,0,2016
228,bmw,3 series,diesel,automatic,sedan,13,1998,2018
229,maruti,alto,petrol,manual,hatchback,26,796,2024
230,toyota,fortuner,diesel,manual,suv,14,2755,2020
231,hyundai,creta,petrol,automatic,suv,15,1497,2021
232,bmw,3 series,petrol,automatic,sedan,12,1998,2017
233,honda,city,petrol,automatic,sedan,18,1498,2016
234,hyundai,verna,petrol,manual,sedan,19,1497,2019
235,maruti,swift,petrol,manual,hatchback,21,1197,2021
236,toyota,innova,diesel,automatic,suv,12,2393,2018
237,honda,city,petrol,automatic,sedan,20,1498,2021
238,honda,amaze,petrol,automatic,sedan,18,1199,2021
239,toyota,fortuner,diesel,automatic,suv,14,2755,2018
240,toyota,fortuner,diesel,manual,suv,12,2755,2020
241,hyundai,creta,petrol,manual,suv,18,1497,2021
242,kia,ev6,electric,automatic,suv,0,0,2020
243,maruti,swift,petrol,manual,hatchback,25,1197,2020
244,maruti,alto,petrol,manual,hatchback,22,796,2020
245,toyota,glanza,petrol,manual,hatchback,21,1197,2023
246,hyundai,verna,petrol,automatic,sedan,18,1497,2016
247,toyota,glanza,petrol,automatic,hatchback,23,1197,2024
248,kia,seltos,petrol,automatic,suv,17,1497,2017
249,toyota,glanza,petrol,manual,hatchback,22,1197,2022
250,toyota,glanza,petrol,manual,hatchback,20,1197,2021
251,hyundai,creta,diesel,automatic,suv,16,1497,2019
252,bmw,x1,diesel,automatic,suv,12,1995,2016
253,toyota,glanza,petrol,automatic,hatchback,21,1197,2022
254,bmw,3 series,petrol,automatic,sedan,13,1998,2023
255,bmw,3 series,diesel,automatic,sedan,11,1998,2024
256,hyundai,verna,petrol,automatic,sedan,18,1497,2020
257,toyota,fortuner,diesel,automatic,suv,13,2755,2020
258,toyota,fortuner,diesel,automatic,suv,11,2755,2016
259,bmw,3 series,petrol,automatic,sedan,15,1998,2017
260,bmw,x1,petrol,automatic,suv,15,1995,2020
261,maruti,swift,petrol,automatic,hatchback,23,1197,2018
262,hyundai,creta,diesel,manual,suv,18,1497,2023
263,maruti,alto,petrol,manual,hatchback,22,796,2016
264,maruti,swift,petrol,manual,hatchback,24,1197,2019
265,maruti,swift,petrol,manual,hatchback,24,1197,2020
266,kia,seltos,diesel,manual,suv,17,1497,2020
267,toyota,fortuner,diesel,manual,suv,12,2755,2024
268,hyundai,verna,petrol,automatic,sedan,17,1497,2018
269,toyota,fortuner,diesel,manual,suv,13,2755,2019
270,bmw,x1,diesel,automatic,suv,13,1995,2016
271,bmw,3 series,petrol,automatic,sedan,12,1998,2023
272,honda,amaze,petrol,automatic,sedan,22,1199,2020
273,hyundai,verna,petrol,manual,sedan,20,1497,2017
