Car_ID,Brand,Model,Fuel_Type,Transmission,Body_Type,Mileage,Engine_CC,Year
1,Kia,EV6,Electric,Automatic,SUV,0,0,2024
2,Honda,Amaze,Diesel,Automatic,Sedan,20,1199,2019
3,Honda,Amaze,Diesel,Manual,Sedan,20,1199,2018
4,Honda,Amaze,Petrol,Manual,Sedan,20,1199,2024
5,Toyota,Innova,Diesel,Manual,SUV,14,2393,2018
6,BMW,3 Series,Diesel,Automatic,Sedan,14,1998,2017
7,Hyundai,Verna,Petrol,Manual,Sedan,19,1497,2022
8,Maruti,Alto,Petrol,Manual,Hatchback,23,796,2019
9,Kia,Seltos,Petrol,Automatic,SUV,16,1497,2022
10,Hyundai,Verna,Petrol,Manual,Sedan,20,1497,2023
11,Kia,Seltos,Petrol,Manual,SUV,16,1497,2016
12,Hyundai,Verna,Petrol,Automatic,Sedan,17,1497,2021
13,Honda,Amaze,Diesel,Manual,Sedan,18,1199,2020
14,Hyundai,i20,Petrol,Automatic,Hatchback,22,1197,2016
15,Honda,Amaze,Petrol,Manual,Sedan,19,1199,2022
16,Honda,City,Petrol,Automatic,Sedan,16,1498,2016
17,Honda,Amaze,Diesel,Automatic,Sedan,21,1199,2018
18,Toyota,Innova,Diesel,Manual,SUV,16,2393,2018
19,Maruti,Alto,Petrol,Manual,Hatchback,23,796,2023
20,Honda,City,Petrol,Automatic,Sedan,16,1498,2024
21,BMW,3 Series,Diesel,Automatic,Sedan,12,1998,2016
22,Honda,Amaze,Diesel,Manual,Sedan,19,1199,2023
23,Kia,EV6,Electric,Automatic,SUV,0,0,2020
24,Hyundai,Creta,Petrol,Manual,SUV,15,1497,2020
25,Kia,Seltos,Diesel,Automatic,SUV,17,1497,2022
26,Maruti,Swift,Petrol,Automatic,Hatchback,22,1197,2016
27,Hyundai,i20,Petrol,Automatic,Hatchback,20,1197,2019
28,Kia,EV6,Electric,Automatic,SUV,2,0,2023
29,Toyota,Glanza,Petrol,Manual,Hatchback,24,1197,2021
30,Maruti,Swift,Petrol,Manual,Hatchback,25,1197,2018
31,Hyundai,i20,Petrol,Automatic,Hatchback,23,1197,2020
32,Kia,Seltos,Petrol,Automatic,SUV,17,1497,2023
33,Toyota,Fortuner,Diesel,Manual,SUV,10,2755,2020
34,Kia,EV6,Electric,Automatic,SUV,0,0,2021
35,Toyota,Innova,Diesel,Manual,SUV,16,2393,2020
36,Toyota,Innova,Diesel,Automatic,SUV,15,2393,2017
37,Hyundai,i20,Petrol,Manual,Hatchback,19,1197,2019
38,Toyota,Glanza,Petrol,Automatic,Hatchback,20,1197,2020
39,BMW,X1,Petrol,Automatic,SUV,14,1995,2020
40,Kia,Seltos,Diesel,Automatic,SUV,16,1497,2023
41,Honda,City,Petrol,Manual,Sedan,17,1498,2019
42,BMW,3 Series,Diesel,Automatic,Sedan,12,1998,2019
43,Maruti,Alto,Petrol,Manual,Hatchback,24,796,2023
44,Maruti,Alto,Petrol,Manual,Hatchback,25,796,2020
45,Hyundai,i20,Petrol,Manual,Hatchback,22,1197,2020
46,Toyota,Innova,Diesel,Manual,SUV,12,2393,2024
47,Honda,Amaze,Diesel,Automatic,Sedan,20,1199,2016
48,Toyota,Fortuner,Diesel,Manual,SUV,11,2755,2021
49,Honda,Amaze,Diesel,Automatic,Sedan,19,1199,2018
50,BMW,3 Series,Diesel,Automatic,Sedan,11,1998,2024
51,Honda,Amaze,Diesel,Manual,Sedan,18,1199,2016
52,Hyundai,Creta,Petrol,Automatic,SUV,15,1497,2018
53,Hyundai,Creta,Petrol,Automatic,SUV,17,1497,2020
54,Honda,City,Petrol,Automatic,Sedan,20,1498,2021
55,BMW,X1,Diesel,Automatic,SUV,15,1995,2022
56,Toyota,Glanza,Petrol,Automatic,Hatchback,24,1197,2022
57,Hyundai,i20,Petrol,Automatic,Hatchback,20,1197,2018
58,Maruti,Alto,Petrol,Manual,Hatchback,22,796,2017
59,Honda,Amaze,Petrol,Automatic,Sedan,21,1199,2019
60,Hyundai,i20,Petrol,Automatic,Hatchback,19,1197,2023
61,Hyundai,Creta,Diesel,Automatic,SUV,16,1497,2023
62,Toyota,Glanza,Petrol,Manual,Hatchback,22,1197,2017
63,Toyota,Glanza,Petrol,Automatic,Hatchback,24,1197,2019
64,BMW,X1,Petrol,Automatic,SUV,14,1995,2016
65,Honda,Amaze,Petrol,Automatic,Sedan,22,1199,2024
66,BMW,X1,Petrol,Automatic,SUV,13,1995,2020
67,Kia,EV6,Electric,Automatic,SUV,0,0,2021
68,BMW,X1,Petrol,Automatic,SUV,15,1995,2017
69,Hyundai,Creta,Diesel,Automatic,SUV,18,1497,2024
70,Toyota,Fortuner,Diesel,Automatic,SUV,14,2755,2017
71,Maruti,Alto,Petrol,Manual,Hatchback,22,796,2023
72,Kia,Seltos,Petrol,Automatic,SUV,16,1497,2016
73,Maruti,Alto,Petrol,Manual,Hatchback,25,796,2022
74,Honda,City,Petrol,Manual,Sedan,19,1498,2021
75,BMW,3 Series,Diesel,Automatic,Sedan,14,1998,2023
76,BMW,X1,Diesel,Automatic,SUV,16,1995,2022
77,BMW,3 Series,Petrol,Automatic,Sedan,12,1998,2018
78,Hyundai,Creta,Diesel,Automatic,SUV,18,1497,2021
79,Honda,City,Petrol,Manual,Sedan,18,1498,2018
80,Honda,City,Petrol,Manual,Sedan,17,1498,2022
81,Toyota,Innova,Diesel,Automatic,SUV,15,2393,2024
82,Honda,Amaze,Petrol,Manual,Sedan,20,1199,2022
83,Hyundai,Creta,Diesel,Manual,SUV,19,1497,2018
84,Hyundai,i20,Petrol,Automatic,Hatchback,21,1197,2017
85,Maruti,Swift,Petrol,Automatic,Hatchback,21,1197,2023
86,Kia,EV6,Electric,Automatic,SUV,2,0,2021
87,Honda,Amaze,Diesel,Manual,Sedan,18,1199,2022
88,Honda,City,Petrol,Manual,Sedan,19,1498,2024
89,Maruti,Swift,Petrol,Automatic,Hatchback,25,1197,2021
90,BMW,X1,Petrol,Automatic,SUV,12,1995,2016
91,BMW,X1,Diesel,Automatic,SUV,14,1995,2016
92,Hyundai,i20,Petrol,Automatic,Hatchback,21,1197,2020
93,Honda,City,Petrol,Manual,Sedan,18,1498,2023
94,Hyundai,Creta,Diesel,Automatic,SUV,16,1497,2021
95,Kia,EV6,Electric,Automatic,SUV,2,0,2021
96,Hyundai,Creta,Petrol,Automatic,SUV,17,1497,2017
97,Maruti,Swift,Petrol,Automatic,Hatchback,24,1197,2020
98,Hyundai,i20,Petrol,Manual,Hatchback,20,1197,2021
99,BMW,3 Series,Petrol,Automatic,Sedan,12,1998,2019
100,Toyota,Innova,Diesel,Automatic,SUV,15,2393,2016
101,Maruti,Swift,Petrol,Manual,Hatchback,22,1197,2024
102,Kia,EV6,Electric,Automatic,SUV,1,0,2017
103,BMW,X1,Petrol,Automatic,SUV,13,1995,2017
104,Toyota,Glanza,Petrol,Automatic,Hatchback,20,1197,2017
105,Toyota,Fortuner,Diesel,Manual,SUV,12,2755,2020
106,Toyota,Innova,Diesel,Automatic,SUV,16,2393,2024
107,Maruti,Swift,Petrol,Automatic,Hatchback,22,1197,2024
108,Toyota,Innova,Diesel,Manual,SUV,13,2393,2019
109,Maruti,Alto,Petrol,Manual,Hatchback,24,796,2017
110,Maruti,Swift,Petrol,Manual,Hatchback,21,1197,2020
111,Toyota,Glanza,Petrol,Manual,Hatchback,22,1197,2016
112,BMW,3 Series,Petrol,Automatic,Sedan,15,1998,2019
113,Hyundai,Verna,Petrol,Automatic,Sedan,18,1497,2021
114,Toyota,Innova,Diesel,Manual,SUV,13,2393,2022
115,Honda,Amaze,Diesel,Automatic,Sedan,21,1199,2019
116,Maruti,Swift,Petrol,Manual,Hatchback,25,1197,2017
117,Toyota,Fortuner,Diesel,Manual,SUV,12,2755,2019
118,BMW,X1,Petrol,Automatic,SUV,15,1995,2023
119,BMW,X1,Diesel,Automatic,SUV,16,1995,2019
120,Kia,EV6,Electric,Automatic,SUV,0,0,2017
121,Honda,Amaze,Diesel,Automatic,Sedan,19,1199,2024
122,Hyundai,Creta,Diesel,Automatic,SUV,17,1497,2021
123,Honda,Amaze,Petrol,Automatic,Sedan,22,1199,2019
124,Kia,EV6,Electric,Automatic,SUV,0,0,2021
125,Toyota,Fortuner,Diesel,Manual,SUV,12,2755,2018
126,Kia,EV6,Electric,Automatic,SUV,1,0,2023
127,Maruti,Swift,Petrol,Automatic,Hatchback,24,1197,2020
128,Maruti,Swift,Petrol,Automatic,Hatchback,21,1197,2019
129,Honda,Amaze,Diesel,Manual,Sedan,18,1199,2022
130,Hyundai,Verna,Petrol,Automatic,Sedan,21,1497,2019
131,Kia,Seltos,Diesel,Manual,SUV,16,1497,2018
132,Toyota,Fortuner,Diesel,Manual,SUV,12,2755,2017
133,Maruti,Alto,Petrol,Manual,Hatchback,23,796,2021
134,Honda,Amaze,Diesel,Manual,Sedan,18,1199,2018
135,Honda,City,Petrol,Automatic,Sedan,19,1498,2023
136,Maruti,Swift,Petrol,Automatic,Hatchback,22,1197,2016
137,Hyundai,Verna,Petrol,Manual,Sedan,18,1497,2017
138,Kia,EV6,Electric,Automatic,SUV,2,0,2024
139,Honda,Amaze,Diesel,Manual,Sedan,20,1199,2018
140,Toyota,Glanza,Petrol,Manual,Hatchback,22,1197,2020
141,Maruti,Swift,Petrol,Manual,Hatchback,21,1197,2017
142,Honda,Amaze,Diesel,Automatic,Sedan,22,1199,2016
143,Hyundai,Creta,Diesel,Automatic,SUV,18,1497,2018
144,Maruti,Swift,Petrol,Automatic,Hatchback,24,1197,2021
145,BMW,X1,Petrol,Automatic,SUV,13,1995,2018
146,BMW,3 Series,Diesel,Automatic,Sedan,14,1998,2017
147,Toyota,Innova,Diesel,Automatic,SUV,14,2393,2019
148,Kia,EV6,Electric,Automatic,SUV,0,0,2017
149,BMW,X1,Diesel,Automatic,SUV,14,1995,2016
150,Honda,City,Petrol,Manual,Sedan,20,1498,2019
151,Toyota,Glanza,Petrol,Automatic,Hatchback,24,1197,2020
152,Honda,City,Petrol,Automatic,Sedan,16,1498,2023
153,Toyota,Innova,Diesel,Automatic,SUV,16,2393,2021
154,Hyundai,Verna,Petrol,Manual,Sedan,21,1497,2021
155,Hyundai,Verna,Petrol,Automatic,Sedan,20,1497,2020
156,Toyota,Innova,Diesel,Automatic,SUV,15,2393,2022
157,BMW,3 Series,Diesel,Automatic,Sedan,11,1998,2020
158,Honda,Amaze,Petrol,Automatic,Sedan,19,1199,2016
159,Hyundai,Verna,Petrol,Automatic,Sedan,21,1497,2024
160,Hyundai,Creta,Diesel,Manual,SUV,18,1497,2021
161,Hyundai,Creta,Petrol,Manual,SUV,15,1497,2016
162,Kia,EV6,Electric,Automatic,SUV,1,0,2017
163,Kia,Seltos,Petrol,Manual,SUV,18,1497,2018
164,Toyota,Fortuner,Diesel,Automatic,SUV,12,2755,2017
165,Toyota,Innova,Diesel,Automatic,SUV,14,2393,2016
166,Hyundai,i20,Petrol,Manual,Hatchback,21,1197,2023
167,Maruti,Alto,Petrol,Manual,Hatchback,23,796,2024
168,Maruti,Alto,Petrol,Manual,Hatchback,26,796,2018
169,Honda,Amaze,Diesel,Manual,Sedan,21,1199,2016
170,Honda,Amaze,Diesel,Manual,Sedan,20,1199,2019
171,Maruti,Swift,Petrol,Manual,Hatchback,21,1197,2022
172,Hyundai,Creta,Diesel,Automatic,SUV,18,1497,2019
173,Honda,City,Petrol,Automatic,Sedan,19,1498,2019
174,Toyota,Glanza,Petrol,Manual,Hatchback,24,1197,2021
175,Honda,Amaze,Diesel,Automatic,Sedan,22,1199,2021
176,Toyota,Glanza,Petrol,Automatic,Hatchback,20,1197,2019
177,Toyota,Innova,Diesel,Manual,SUV,13,2393,2020
178,Honda,City,Petrol,Manual,Sedan,17,1498,2016
179,Maruti,Alto,Petrol,Manual,Hatchback,24,796,2017
180,BMW,3 Series,Petrol,Automatic,Sedan,14,1998,2018
181,Maruti,Alto,Petrol,Manual,Hatchback,25,796,2019
182,Maruti,Swift,Petrol,Automatic,Hatchback,21,1197,2021
183,Kia,EV6,Electric,Automatic,SUV,0,0,2018
184,Honda,Amaze,Diesel,Automatic,Sedan,18,1199,2023
185,BMW,3 Series,Diesel,Automatic,Sedan,14,1998,2017
186,BMW,3 Series,Petrol,Automatic,Sedan,14,1998,2021
187,Hyundai,Verna,Petrol,Automatic,Sedan,21,1497,2018
188,Hyundai,i20,Petrol,Manual,Hatchback,23,1197,2018
189,Kia,EV6,Electric,Automatic,SUV,0,0,2019
190,Toyota,Innova,Diesel,Automatic,SUV,16,2393,2022
191,Maruti,Swift,Petrol,Manual,Hatchback,23,1197,2023
192,Toyota,Fortuner,Diesel,Manual,SUV,14,2755,2018
193,BMW,X1,Petrol,Automatic,SUV,12,1995,2019
194,Toyota,Glanza,Petrol,Manual,Hatchback,21,1197,2021
195,Toyota,Glanza,Petrol,Manual,Hatchback,24,1197,2018
196,Toyota,Glanza,Petrol,Manual,Hatchback,21,1197,2020
197,Hyundai,Creta,Diesel,Automatic,SUV,17,1497,2020
198,Honda,Amaze,Petrol,Manual,Sedan,18,1199,2020
199,Hyundai,i20,Petrol,Manual,Hatchback,20,1197,2023
200,Hyundai,i20,Petrol,Automatic,Hatchback,21,1197,2024
201,Hyundai,Verna,Petrol,Manual,Sedan,21,1497,2018
202,Kia,Seltos,Diesel,Automatic,SUV,15,1497,2018
203,Hyundai,Verna,Petrol,Automatic,Sedan,18,1497,2017
204,Honda,Amaze,Petrol,Manual,Sedan,20,1199,2024
205,Toyota,Innova,Diesel,Manual,SUV,16,2393,2024
206,Maruti,Alto,Petrol,Manual,Hatchback,22,796,2024
207,Toyota,Glanza,Petrol,Manual,Hatchback,23,1197,2021
208,Kia,Seltos,Petrol,Automatic,SUV,18,1497,2021
209,Kia,EV6,Electric,Automatic,SUV,2,0,2024
210,Hyundai,i20,Petrol,Manual,Hatchback,21,1197,2020
211,Honda,Amaze,Diesel,Automatic,Sedan,18,1199,2021
212,Maruti,Swift,Petrol,Automatic,Hatchback,23,1197,2024
213,Kia,Seltos,Petrol,Automatic,SUV,15,1497,2016
214,BMW,3 Series,Petrol,Automatic,Sedan,15,1998,2016
215,Toyota,Glanza,Petrol,Automatic,Hatchback,23,1197,2018
216,Kia,Seltos,Diesel,Automatic,SUV,16,1497,2019
217,BMW,3 Series,Petrol,Automatic,Sedan,13,1998,2020
218,Kia,Seltos,Diesel,Automatic,SUV,19,1497,2023
219,Honda,City,Petrol,Manual,Sedan,16,1498,2019
220,Honda,City,Petrol,Automatic,Sedan,16,1498,2020
221,Maruti,Alto,Petrol,Manual,Hatchback,23,796,2017
222,Hyundai,Creta,Diesel,Automatic,SUV,15,1497,2021
223,Hyundai,Verna,Petrol,Automatic,Sedan,19,1497,2016
224,Toyota,Innova,Diesel,Manual,SUV,14,2393,2021
225,Maruti,Alto,Petrol,Manual,Hatchback,22,796,2018
226,Honda,City,Petrol,Manual,Sedan,16,1498,2016
227,Kia,EV6,Electric,Automatic,SUV,2,0,2016
228,BMW,3 Series,Diesel,Automatic,Sedan,13,1998,2018
229,Maruti,Alto,Petrol,Manual,Hatchback,26,796,2024
230,Toyota,Fortuner,Diesel,Manual,SUV,14,2755,2020
231,Hyundai,Creta,Petrol,Automatic,SUV,15,1497,2021
232,BMW,3 Series,Petrol,Automatic,Sedan,12,1998,2017
233,Honda,City,Petrol,Automatic,Sedan,18,1498,2016
234,Hyundai,Verna,Petrol,Manual,Sedan,19,1497,2019
235,Maruti,Swift,Petrol,Manual,Hatchback,21,1197,2021
